sampleid	sampling_stage	Country	farm_number	GD109_temp_gestation_unit	GD019_feed_formulation_major_ingredients	GD109_feed_form	GD109_probiotic	LD21_temp_lactation_unit	LD21_feed_formulation_major_ingredients	LD21_feed_form	LD21_probiotic	antibiotic	LD21_probiotic_type	GD109_probiotic_type	parity	no_piglets_alive	no_stillborn_piglets	no_piglets_weaned_per_year_sow_not_for_gilts	sow_no	country_code	runid	feed_combined
005-04-09	G109	Spain	ES_4	21.2	Barley, corn, wheat, soybean meal	Pellets	no	24	Barley, corn, wheat, soybean meal	Pellets	yes	no	BioPlus YC	NA	4	16	1	32.63	005_3094	ES	5	barley, wheat, soy, corn
005-04-10	G109	Spain	ES_4	21.2	Barley, corn, wheat, soybean meal	Pellets	no	24	Barley, corn, wheat, soybean meal	Pellets	yes	no	BioPlus YC	NA	4	14	1	32.46	005_3115	ES	5	barley, wheat, soy, corn
005-04-11	G109	Spain	ES_4	21.2	Barley, corn, wheat, soybean meal	Pellets	no	24	Barley, corn, wheat, soybean meal	Pellets	yes	no	BioPlus YC	NA	10	18	1	36.57	005_2648	ES	5	barley, wheat, soy, corn
005-04-12	G109	Spain	ES_4	21.2	Barley, corn, wheat, soybean meal	Pellets	no	24	Barley, corn, wheat, soybean meal	Pellets	yes	no	BioPlus YC	NA	6	1	0	18.71	005_2955	ES	5	barley, wheat, soy, corn
005-04-13	L21	Spain	ES_4	21.2	Barley, corn, wheat, soybean meal	Pellets	no	24	Barley, corn, wheat, soybean meal	Pellets	yes	no	BioPlus YC	NA	6	14	0	23.01	005_2968	ES	5	barley, wheat, soy, corn
005-04-14	L21	Spain	ES_4	21.2	Barley, corn, wheat, soybean meal	Pellets	no	24	Barley, corn, wheat, soybean meal	Pellets	yes	no	BioPlus YC	NA	9	16	3	21.55	005_2736	ES	5	barley, wheat, soy, corn
005-04-15	L21	Spain	ES_4	21.2	Barley, corn, wheat, soybean meal	Pellets	no	24	Barley, corn, wheat, soybean meal	Pellets	yes	no	BioPlus YC	NA	8	18	3	32.9	005_2826	ES	5	barley, wheat, soy, corn
005-04-16	L21	Spain	ES_4	21.2	Barley, corn, wheat, soybean meal	Pellets	no	24	Barley, corn, wheat, soybean meal	Pellets	yes	no	BioPlus YC	NA	8	18	3	29.63	005_2831	ES	5	barley, wheat, soy, corn
005-04-17	L21	Spain	ES_4	21.2	Barley, corn, wheat, soybean meal	Pellets	no	24	Barley, corn, wheat, soybean meal	Pellets	yes	no	BioPlus YC	NA	8	11	1	26.55	005_2854	ES	5	barley, wheat, soy, corn
005-04-18	L21	Spain	ES_4	21.2	Barley, corn, wheat, soybean meal	Pellets	no	24	Barley, corn, wheat, soybean meal	Pellets	yes	no	BioPlus YC	NA	7	12	2	30.74	005_2903	ES	5	barley, wheat, soy, corn
005-04-20	L21	Spain	ES_4	21.2	Barley, corn, wheat, soybean meal	Pellets	no	24	Barley, corn, wheat, soybean meal	Pellets	yes	no	BioPlus YC	NA	5	10	1	28.88	005_3051	ES	5	barley, wheat, soy, corn
005-04-21	L21	Spain	ES_4	21.2	Barley, corn, wheat, soybean meal	Pellets	no	24	Barley, corn, wheat, soybean meal	Pellets	yes	no	BioPlus YC	NA	4	16	1	32.63	005_3094	ES	5	barley, wheat, soy, corn
005-04-22	L21	Spain	ES_4	21.2	Barley, corn, wheat, soybean meal	Pellets	no	24	Barley, corn, wheat, soybean meal	Pellets	yes	no	BioPlus YC	NA	4	14	1	32.46	005_3115	ES	5	barley, wheat, soy, corn
005-04-23	L21	Spain	ES_4	21.2	Barley, corn, wheat, soybean meal	Pellets	no	24	Barley, corn, wheat, soybean meal	Pellets	yes	no	BioPlus YC	NA	10	18	1	36.57	005_2648	ES	5	barley, wheat, soy, corn
006-01-01	G109	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	yes	NA	NA	1	19	1	NA	006_558	NL	6	barley, wheat, palm kernel
006-01-02	G109	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	no	NA	NA	1	15	0	NA	006_549	NL	6	barley, wheat, palm kernel
006-01-03	G109	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	no	NA	NA	1	10	1	NA	006_543	NL	6	barley, wheat, palm kernel
006-01-04	G109	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	no	NA	NA	1	16	0	NA	006_551	NL	6	barley, wheat, palm kernel
006-01-05	G109	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	no	NA	NA	2	16	0	37	006_402	NL	6	barley, wheat, palm kernel
006-01-06	G109	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	no	NA	NA	2	13	0	32	006_413	NL	6	barley, wheat, palm kernel
006-01-07	G109	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	no	NA	NA	2	17	0	24.6	006_398	NL	6	barley, wheat, palm kernel
006-01-08	G109	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	no	NA	NA	3	15	3	32.8	006_203	NL	6	barley, wheat, palm kernel
006-01-09	G109	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	no	NA	NA	3	21	0	35.8	006_210	NL	6	barley, wheat, palm kernel
006-01-10	G109	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	no	NA	NA	3	11	0	26	006_228	NL	6	barley, wheat, palm kernel
006-01-11	G109	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	no	NA	NA	4	17	0	34.7	006_941	NL	6	barley, wheat, palm kernel
006-01-12	G109	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	no	NA	NA	4	13	1	33	006_944	NL	6	barley, wheat, palm kernel
006-01-13	L21	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	yes	NA	NA	1	19	1	NA	006_558	NL	6	barley, wheat
006-01-14	L21	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	no	NA	NA	1	15	0	NA	006_549	NL	6	barley, wheat
006-01-15	L21	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	no	NA	NA	1	10	1	NA	006_543	NL	6	barley, wheat
006-01-16	L21	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	no	NA	NA	1	16	0	NA	006_551	NL	6	barley, wheat
006-01-17	L21	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	no	NA	NA	2	16	0	37	006_402	NL	6	barley, wheat
006-01-18	L21	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	no	NA	NA	2	13	0	32	006_413	NL	6	barley, wheat
006-01-19	L21	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	no	NA	NA	2	17	0	24.6	006_398	NL	6	barley, wheat
006-01-20	L21	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	no	NA	NA	3	15	3	32.8	006_203	NL	6	barley, wheat
006-01-21	L21	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	no	NA	NA	3	21	0	35.8	006_210	NL	6	barley, wheat
006-01-22	L21	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	no	NA	NA	3	11	0	26	006_228	NL	6	barley, wheat
006-01-23	L21	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	no	NA	NA	4	17	0	34.7	006_941	NL	6	barley, wheat
006-01-24	L21	Netherlands	NL_1	21.3	Barley, wheat middlings, palm kernel expellers	Pellets	no	26.3	Wheat, wheat middlings, barley, maize	Pellets	no	no	NA	NA	4	13	1	33	006_944	NL	6	barley, wheat
006-02-01	G109	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	no	NA	NA	1	9	2	NA	006_1372	NL	6	barley, wheat, corn, palm kernel
006-02-02	G109	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	no	NA	NA	1	25	1	NA	006_1389	NL	6	barley, wheat, corn, palm kernel
006-02-03	G109	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	no	NA	NA	1	15	2	NA	006_748	NL	6	barley, wheat, corn, palm kernel
006-02-04	G109	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	no	NA	NA	1	18	0	NA	006_749	NL	6	barley, wheat, corn, palm kernel
006-02-05	G109	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	no	NA	NA	2	18	0	NA	006_688	NL	6	barley, wheat, corn, palm kernel
006-02-06	G109	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	no	NA	NA	2	23	1	62.1	006_690	NL	6	barley, wheat, corn, palm kernel
006-02-07	G109	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	no	NA	NA	3	24	1	36.8	006_575	NL	6	barley, wheat, corn, palm kernel
006-02-08	G109	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	no	NA	NA	3	18	2	32.6	006_579	NL	6	barley, wheat, corn, palm kernel
006-02-09	G109	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	yes	NA	NA	4	19	2	31.6	006_438	NL	6	barley, wheat, corn, palm kernel
006-02-10	G109	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	no	NA	NA	4	18	1	36.7	006_482	NL	6	barley, wheat, corn, palm kernel
006-02-11	G109	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	no	NA	NA	5	17	0	35.5	006_378	NL	6	barley, wheat, corn, palm kernel
006-02-12	G109	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	no	NA	NA	5	18	1	34.8	006_372	NL	6	barley, wheat, corn, palm kernel
006-02-13	L21	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	no	NA	NA	1	9	2	NA	006_1372	NL	6	barley, wheat, soy, corn
006-02-14	L21	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	no	NA	NA	1	25	1	NA	006_1389	NL	6	barley, wheat, soy, corn
006-02-15	L21	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	no	NA	NA	1	15	2	NA	006_748	NL	6	barley, wheat, soy, corn
006-02-16	L21	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	no	NA	NA	1	18	0	NA	006_749	NL	6	barley, wheat, soy, corn
006-02-17	L21	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	no	NA	NA	2	18	0	NA	006_688	NL	6	barley, wheat, soy, corn
006-02-18	L21	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	no	NA	NA	2	23	1	62.1	006_690	NL	6	barley, wheat, soy, corn
006-02-19	L21	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	no	NA	NA	3	24	1	36.8	006_575	NL	6	barley, wheat, soy, corn
006-02-20	L21	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	no	NA	NA	3	18	2	32.6	006_579	NL	6	barley, wheat, soy, corn
006-02-21	L21	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	yes	NA	NA	4	19	2	31.6	006_438	NL	6	barley, wheat, soy, corn
006-02-22	L21	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	no	NA	NA	4	18	1	36.7	006_482	NL	6	barley, wheat, soy, corn
006-02-23	L21	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	no	NA	NA	5	17	0	35.5	006_378	NL	6	barley, wheat, soy, corn
006-02-24	L21	Netherlands	NL_2	25.3	Wheat, palm kernel flakes, barley, corn	Liquid	no	25.8	Wheat, corn, soybean meal, barley	Liquid	no	no	NA	NA	5	18	1	34.8	006_372	NL	6	barley, wheat, soy, corn
006-03-01	G109	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	1	19	1	NA	006_5536	NL	7	barley, wheat, palm kernel, sunflower
006-03-02	G109	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	1	12	3	NA	006_5550	NL	7	barley, wheat, palm kernel, sunflower
006-03-03	G109	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	1	13	0	NA	006_5541	NL	7	barley, wheat, palm kernel, sunflower
006-03-04	G109	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	1	16	1	NA	006_5533	NL	7	barley, wheat, palm kernel, sunflower
006-03-05	G109	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	3	21	0	29.1	006_5374	NL	7	barley, wheat, palm kernel, sunflower
006-03-06	G109	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	3	13	2	36	006_5396	NL	7	barley, wheat, palm kernel, sunflower
006-03-07	G109	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	4	15	6	35.8	006_5327	NL	7	barley, wheat, palm kernel, sunflower
006-03-08	G109	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	4	12	2	31.9	006_5298	NL	7	barley, wheat, palm kernel, sunflower
006-03-09	G109	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	2	16	0	33.9	006_5464	NL	7	barley, wheat, palm kernel, sunflower
006-03-10	G109	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	3	17	1	33.6	006_5383	NL	7	barley, wheat, palm kernel, sunflower
006-03-11	G109	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	6	13	0	33.8	006_5175	NL	7	barley, wheat, palm kernel, sunflower
006-03-12	G109	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	6	19	5	32	006_5156	NL	7	barley, wheat, palm kernel, sunflower
006-03-13	L21	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	1	19	1	NA	006_5536	NL	7	barley, wheat, soy, corn
006-03-14	L21	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	1	12	3	NA	006_5550	NL	7	barley, wheat, soy, corn
006-03-15	L21	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	1	13	0	NA	006_5541	NL	7	barley, wheat, soy, corn
006-03-16	L21	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	1	16	1	NA	006_5533	NL	7	barley, wheat, soy, corn
006-03-17	L21	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	3	21	0	29.1	006_5374	NL	7	barley, wheat, soy, corn
006-03-18	L21	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	3	13	2	36	006_5396	NL	7	barley, wheat, soy, corn
006-03-19	L21	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	4	15	6	35.8	006_5327	NL	7	barley, wheat, soy, corn
006-03-20	L21	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	4	12	2	31.9	006_5298	NL	7	barley, wheat, soy, corn
006-03-21	L21	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	2	16	0	33.9	006_5464	NL	7	barley, wheat, soy, corn
006-03-22	L21	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	3	17	1	33.6	006_5383	NL	7	barley, wheat, soy, corn
006-03-23	L21	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	6	13	0	33.8	006_5175	NL	7	barley, wheat, soy, corn
006-03-24	L21	Netherlands	NL_3	30.1	Barley, wheat, palm kernel flakes, sunflower seed meal	Pellets	no	26.2	Wheat, corn, barley, soybean meal	Pellets	no	no	NA	NA	6	19	5	32	006_5156	NL	7	barley, wheat, soy, corn
006-04-01	G109	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	1	16	0	NA	006_187	NL	7	NA
006-04-02	G109	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	1	16	0	NA	006_188	NL	7	NA
006-04-03	G109	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	1	15	0	NA	006_189	NL	7	NA
006-04-04	G109	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	1	12	0	NA	006_190	NL	7	NA
006-04-05	G109	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	2	18	4	30.1	006_118	NL	7	NA
006-04-06	G109	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	2	14	0	31.8	006_139	NL	7	NA
006-04-07	G109	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	3	16	0	31	006_58	NL	7	NA
006-04-08	G109	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	3	14	0	35.2	006_80	NL	7	NA
006-04-09	G109	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	3	11	1	33.5	006_78	NL	7	NA
006-04-10	G109	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	4	22	2	29.1	006_684	NL	7	NA
006-04-11	G109	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	5	10	0	34	006_650	NL	7	NA
006-04-12	G109	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	5	17	0	33.4	006_648	NL	7	NA
006-04-13	L21	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	1	16	0	NA	006_187	NL	7	barley, wheat, soy
006-04-14	L21	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	1	16	0	NA	006_188	NL	7	barley, wheat, soy
006-04-15	L21	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	1	15	0	NA	006_189	NL	7	barley, wheat, soy
006-04-16	L21	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	1	12	0	NA	006_190	NL	7	barley, wheat, soy
006-04-17	L21	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	2	18	4	30.1	006_118	NL	7	barley, wheat, soy
006-04-18	L21	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	2	14	0	31.8	006_139	NL	7	barley, wheat, soy
006-04-19	L21	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	3	16	0	31	006_58	NL	7	barley, wheat, soy
006-04-20	L21	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	3	14	0	35.2	006_80	NL	7	barley, wheat, soy
006-04-21	L21	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	3	11	1	33.5	006_78	NL	7	barley, wheat, soy
006-04-22	L21	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	4	22	2	29.1	006_684	NL	7	barley, wheat, soy
006-04-23	L21	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	5	10	0	34	006_650	NL	7	barley, wheat, soy
006-04-24	L21	Netherlands	NL_4	28.4	NA	Pellets	NA	27.5	Barley, wheat bran, wheat, soybean meal	Pellets	NA	no	NA	NA	5	17	0	33.4	006_648	NL	7	barley, wheat, soy
007-01-02	G109	France	FR_1	22	Barley, corn, oat, wheat, triticale	Mash	yes	26	Barley, corn, triticale, wheat	Mash	yes	no	Levucell	Levucell	3	14	3	37.2	007_148	FR	7	barley, wheat, corn, triticale, oat
007-01-03	G109	France	FR_1	22	Barley, corn, oat, wheat, triticale	Mash	yes	26	Barley, corn, triticale, wheat	Mash	yes	no	Levucell	Levucell	3	16	2	26.6	007_152	FR	7	barley, wheat, corn, triticale, oat
007-01-01	G109	France	FR_1	22	Barley, corn, oat, wheat, triticale	Mash	yes	26	Barley, corn, triticale, wheat	Mash	yes	no	Levucell	Levucell	4	12	4	30.8	007_17	FR	7	barley, wheat, corn, triticale, oat
007-01-08	G109	France	FR_1	22	Barley, corn, oat, wheat, triticale	Mash	yes	26	Barley, corn, triticale, wheat	Mash	yes	no	Levucell	Levucell	7	13	7	26.7	007_1945	FR	7	barley, wheat, corn, triticale, oat
007-01-07	G109	France	FR_1	22	Barley, corn, oat, wheat, triticale	Mash	yes	26	Barley, corn, triticale, wheat	Mash	yes	no	Levucell	Levucell	7	14	0	29.7	007_1929	FR	7	barley, wheat, corn, triticale, oat
007-01-09	G109	France	FR_1	22	Barley, corn, oat, wheat, triticale	Mash	yes	26	Barley, corn, triticale, wheat	Mash	yes	no	Levucell	Levucell	5	17	3	29	007_2184	FR	7	barley, wheat, corn, triticale, oat
007-01-10	G109	France	FR_1	22	Barley, corn, oat, wheat, triticale	Mash	yes	26	Barley, corn, triticale, wheat	Mash	yes	no	Levucell	Levucell	4	18	2	33	007_2301	FR	7	barley, wheat, corn, triticale, oat
007-01-04	G109	France	FR_1	22	Barley, corn, oat, wheat, triticale	Mash	yes	26	Barley, corn, triticale, wheat	Mash	yes	no	Levucell	Levucell	2	14	1	27.1	007_273	FR	7	barley, wheat, corn, triticale, oat
